date,demand,sku,supermarket,is_promotion,year,month,day,dayofweek,weekofyear,quarter,is_weekend,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_28,rolling_std_7,rolling_std_14,rolling_std_28,supermarket_encoded,sku_encoded,Predicted_Demand
2021-12-30,75.0,Free Range Eggs,DailyNeeds,0,2021,12,30,3,52,4,0,72.0,72.0,75.0,71.71428571428571,71.10714285714286,71.26785714285714,1.380131118685258,1.5711163525985277,1.8281854131245219,0,0,83.79126
2021-11-05,106.0,Organic Milk,DailyNeeds,0,2021,11,5,4,44,4,0,107.0,107.0,110.0,105.57142857142857,105.28571428571429,105.46428571428571,1.7182493859680654,1.728875643013416,2.5163486606604657,0,1,105.52302
2021-11-06,101.0,Organic Milk,DailyNeeds,0,2021,11,6,5,44,4,1,103.0,104.0,108.0,105.42857142857143,105.21428571428571,105.32142857142857,1.6183471874249593,1.672334684415004,2.3578642474750127,0,1,97.654945
2021-11-07,102.5,Organic Milk,DailyNeeds,0,2021,11,7,6,44,4,1,104.0,105.0,110.0,105.14285714285714,105.0,105.07142857142857,2.193062655174814,1.9999999999985858,2.4332354840072408,0,1,105.29202
2021-11-08,104.0,Organic Milk,DailyNeeds,0,2021,11,8,0,45,4,0,106.0,102.0,111.0,104.92857142857143,104.82142857142857,104.80357142857143,2.387965860806956,2.1086556313023443,2.27847937317089,0,1,104.0328
2021-11-09,105.0,Organic Milk,DailyNeeds,0,2021,11,9,1,45,4,0,108.0,104.0,104.0,104.64285714285714,104.96428571428571,104.55357142857143,2.357864247475309,1.9657087752272375,1.9309337873169514,0,1,104.52382
2021-11-10,104.0,Organic Milk,DailyNeeds,0,2021,11,10,2,45,4,0,105.0,107.0,107.0,104.21428571428571,105.03571428571429,104.58928571428571,1.8676443018127529,1.9460441701262123,1.9295632370334976,0,1,105.914505
2021-11-11,104.0,Organic Milk,DailyNeeds,0,2021,11,11,3,45,4,0,106.0,106.0,104.0,104.07142857142857,104.82142857142857,104.48214285714286,1.8354965592574657,1.8770593086917016,1.8732134345625029,0,1,105.949
2021-11-12,106.0,Organic Milk,DailyNeeds,0,2021,11,12,4,45,4,0,106.0,107.0,103.0,103.78571428571429,104.67857142857143,104.48214285714286,1.629344010563829,1.856455916908138,1.8732134345625029,0,1,105.688576
2021-11-13,105.0,Organic Milk,DailyNeeds,0,2021,11,13,5,45,4,1,101.0,103.0,102.0,103.78571428571429,104.60714285714286,104.58928571428571,1.629344010563829,1.777839780663326,1.8710938147214766,0,1,103.364685
2021-11-14,105.0,Organic Milk,DailyNeeds,0,2021,11,14,6,45,4,1,102.5,104.0,102.0,104.35714285714286,104.75,104.69642857142857,1.1073348527834275,1.7181161418593531,1.801950001948095,0,1,101.56613
2021-11-15,102.0,Organic Milk,DailyNeeds,0,2021,11,15,0,46,4,0,104.0,106.0,102.0,104.71428571428571,104.82142857142857,104.80357142857143,0.755928946017446,1.705276233623618,1.7231500316986292,0,1,103.41057
2021-11-16,103.0,Organic Milk,DailyNeeds,0,2021,11,16,1,46,4,0,105.0,108.0,104.0,104.42857142857143,104.53571428571429,104.80357142857143,1.2724180205600866,1.8236089083310216,1.7231500316986292,0,1,104.808975
2021-11-17,106.0,Organic Milk,DailyNeeds,0,2021,11,17,2,46,4,0,104.0,105.0,105.0,104.14285714285714,104.17857142857143,104.76785714285714,1.345185418268499,1.5641063171740435,1.7505668016334235,0,1,105.86848
2021-11-18,104.0,Organic Milk,DailyNeeds,0,2021,11,18,3,46,4,0,104.0,106.0,107.0,104.42857142857143,104.25,104.80357142857143,1.5118578920363879,1.6261090889684715,1.765614391618718,0,1,106.07219
2021-11-19,104.0,Organic Milk,DailyNeeds,0,2021,11,19,4,46,4,0,106.0,106.0,107.0,104.42857142857143,104.10714285714286,104.69642857142857,1.5118578920363879,1.5464422124601904,1.7177681779636165,0,1,106.019356
2021-11-20,105.0,Organic Milk,DailyNeeds,0,2021,11,20,5,46,4,1,105.0,101.0,104.0,104.14285714285714,103.96428571428571,104.58928571428571,1.345185418268499,1.4473355588030106,1.6614004101203976,0,1,104.49812
2021-11-21,105.0,Organic Milk,DailyNeeds,0,2021,11,21,6,46,4,1,105.0,102.5,105.0,104.14285714285714,104.25,104.625,1.345185418268499,1.1888908858497655,1.6590101912923039,0,1,102.82032
2021-11-22,103.0,Organic Milk,DailyNeeds,0,2021,11,22,0,47,4,0,102.0,104.0,102.0,104.14285714285714,104.42857142857143,104.625,1.345185418268499,1.0894095588015118,1.6590101912923039,0,1,109.20276
2021-11-23,107.0,Organic Milk,DailyNeeds,0,2021,11,23,1,47,4,0,103.0,105.0,104.0,104.28571428571429,104.35714285714286,104.66071428571429,1.1126972805276576,1.1507283885308532,1.6104610073148546,0,1,105.49879
2021-11-24,107.0,Organic Milk,DailyNeeds,0,2021,11,24,2,47,4,0,106.0,104.0,107.0,104.85714285714286,104.5,104.76785714285714,1.3451854182685377,1.3445044840710472,1.6637871951318706,0,1,105.89187
2021-11-25,107.0,Organic Milk,DailyNeeds,0,2021,11,25,3,47,4,0,104.0,104.0,106.0,105.0,104.71428571428571,104.76785714285714,1.5275252316514607,1.4898926873351817,1.6637871951318706,0,1,105.21477
2021-11-26,19.4,Organic Milk,DailyNeeds,0,2021,11,26,4,47,4,0,104.0,106.0,107.0,105.42857142857143,104.92857142857143,104.80357142857143,1.618347187424937,1.5915297775918134,1.701520484057983,0,1,105.5587
2021-11-27,104.0,Organic Milk,DailyNeeds,0,2021,11,27,5,47,4,1,105.0,105.0,103.0,93.34285714285714,98.74285714285715,101.67499999999998,32.639794583854034,22.88975969513659,16.2081969431564,0,1,98.139366
2021-11-28,102.0,Organic Milk,DailyNeeds,0,2021,11,28,6,47,4,1,105.0,105.0,104.0,93.20000000000002,98.67142857142858,101.71071428571427,32.58240834151659,22.870283997141154,16.212325884400634,0,1,95.76549
2021-11-29,103.0,Organic Milk,DailyNeeds,0,2021,11,29,0,48,4,0,103.0,102.0,106.0,92.77142857142859,98.45714285714287,101.6392857142857,32.42065772958723,22.82042655455566,16.20627083217205,0,1,98.84955
2021-11-30,103.0,Organic Milk,DailyNeeds,0,2021,11,30,1,48,4,0,107.0,103.0,108.0,92.77142857142859,98.52857142857144,101.53214285714284,32.42065772958723,22.83392983365659,16.18627799211701,0,1,102.72468
2021-12-01,106.0,Organic Milk,DailyNeeds,0,2021,12,1,2,48,4,0,107.0,106.0,105.0,92.20000000000002,98.52857142857144,101.35357142857141,32.162296767073855,22.83392983365659,16.13979398057627,0,1,97.42205
2021-12-02,106.0,Organic Milk,DailyNeeds,0,2021,12,2,3,48,4,0,107.0,104.0,106.0,92.05714285714286,98.52857142857144,101.3892857142857,32.08773686539538,22.83392983365659,16.14926530345161,0,1,97.871956
2021-12-03,103.0,Organic Milk,DailyNeeds,0,2021,12,3,4,48,4,0,19.4,104.0,106.0,91.91428571428573,98.67142857142858,101.3892857142857,32.012259556375554,22.87700990989826,16.14926530345161,0,1,100.15535
2021-12-04,19.4,Organic Milk,DailyNeeds,0,2021,12,4,5,48,4,1,104.0,105.0,101.0,103.85714285714286,98.60000000000001,101.28214285714284,1.5735915849383009,22.86064808287883,16.127479506670948,0,1,102.319695
2021-12-05,101.0,Organic Milk,DailyNeeds,0,2021,12,5,6,48,4,1,102.0,105.0,102.5,91.77142857142859,92.48571428571428,98.36785714285713,31.951510881631936,31.011433552627302,22.351883731560562,0,1,87.80669
2021-12-06,485.0,Organic Milk,DailyNeeds,0,2021,12,6,0,49,4,0,103.0,103.0,104.0,91.62857142857145,92.2,98.3142857142857,31.90035079669779,30.905513573321784,22.34340924093572,0,1,93.22653
2021-12-07,105.0,Organic Milk,DailyNeeds,0,2021,12,7,1,49,4,0,103.0,107.0,105.0,146.20000000000002,119.4857142857143,111.92142857142856,152.68228449954503,109.60383806546784,76.44614350732714,0,1,148.03326
2021-12-08,108.0,Organic Milk,DailyNeeds,0,2021,12,8,2,49,4,0,106.0,107.0,104.0,146.4857142857143,119.34285714285716,111.92142857142856,152.58981430151698,109.62266549947036,76.44614350732714,0,1,146.47128
2021-12-09,110.0,Organic Milk,DailyNeeds,0,2021,12,9,3,49,4,0,106.0,107.0,104.0,146.77142857142857,119.41428571428573,112.0642857142857,152.5032208871419,109.61432989660292,76.43452881889961,0,1,149.04991
2021-12-10,107.0,Organic Milk,DailyNeeds,0,2021,12,10,4,49,4,0,103.0,19.4,106.0,147.34285714285716,119.62857142857145,112.27857142857142,152.33238720139653,109.59112420946545,76.41949216704323,0,1,117.07335
2021-12-11,102.0,Organic Milk,DailyNeeds,0,2021,12,11,5,49,4,1,19.4,104.0,105.0,147.91428571428574,125.88571428571429,112.3142857142857,152.14571336464957,105.8657993524228,76.41668285125583,0,1,151.54402
2021-12-12,104.0,Organic Milk,DailyNeeds,0,2021,12,12,6,49,4,1,101.0,102.0,105.0,159.71428571428572,125.74285714285715,112.20714285714284,143.47324290114668,105.89894830803196,76.42942001210163,0,1,141.40111
2021-12-13,104.0,Organic Milk,DailyNeeds,0,2021,12,13,0,50,4,0,485.0,103.0,102.0,160.14285714285714,125.88571428571429,112.17142857142856,143.27296624675174,105.8657993524228,76.43314608274225,0,1,140.5059
2021-12-14,102.0,Organic Milk,DailyNeeds,0,2021,12,14,1,50,4,0,105.0,103.0,103.0,105.71428571428571,125.95714285714287,112.24285714285713,2.7516228977516093,105.8495064796147,76.4242225929829,0,1,117.00329
2021-12-15,107.0,Organic Milk,DailyNeeds,0,2021,12,15,2,50,4,0,108.0,106.0,106.0,105.28571428571429,125.88571428571429,112.20714285714284,3.0937725468157664,105.86652595925348,76.42893541919949,0,1,118.0156
2021-12-16,107.0,Organic Milk,DailyNeeds,0,2021,12,16,3,50,4,0,110.0,106.0,104.0,105.14285714285714,125.95714285714287,112.24285714285713,2.9680841985237096,105.85241332437056,76.42616106568545,0,1,117.73368
2021-12-17,106.0,Organic Milk,DailyNeeds,0,2021,12,17,4,50,4,0,107.0,103.0,104.0,104.71428571428571,126.02857142857144,112.35,2.288688541085814,105.83824689352369,76.41627953373401,0,1,114.90825
2021-12-18,104.0,Organic Milk,DailyNeeds,0,2021,12,18,5,50,4,1,102.0,19.4,105.0,104.57142857142857,126.24285714285715,112.42142857142856,2.149196970742766,105.79106196276112,76.4091198606789,0,1,108.18804
2021-12-19,103.0,Organic Milk,DailyNeeds,0,2021,12,19,6,50,4,1,104.0,101.0,105.0,104.85714285714286,132.28571428571428,112.38571428571427,1.8644544714722238,101.54985783531946,76.41295078466113,0,1,106.50438
2021-12-20,105.0,Organic Milk,DailyNeeds,0,2021,12,20,0,51,4,0,104.0,485.0,103.0,104.71428571428571,132.42857142857142,112.3142857142857,1.9760470401192838,101.50385690717832,76.42104477600448,0,1,107.13754
2021-12-21,104.0,Organic Milk,DailyNeeds,0,2021,12,21,1,51,4,0,102.0,105.0,107.0,104.85714285714286,105.28571428571429,112.38571428571427,1.9518001458976542,2.3346411823974953,76.41295078466113,0,1,103.77597
2021-12-22,106.0,Organic Milk,DailyNeeds,0,2021,12,22,2,51,4,0,107.0,108.0,107.0,105.14285714285714,105.21428571428571,112.27857142857142,1.573591584939627,2.3592231912074513,76.42288467198355,0,1,105.40246
2021-12-23,106.0,Organic Milk,DailyNeeds,0,2021,12,23,3,51,4,0,107.0,110.0,107.0,105.0,105.07142857142857,112.24285714285713,1.4142135623739138,2.234839031004842,76.42567645211928,0,1,105.791626
2021-12-24,106.0,Organic Milk,DailyNeeds,0,2021,12,24,4,51,4,0,106.0,107.0,19.4,104.85714285714286,104.78571428571429,112.20714285714284,1.2149857925888585,1.7619295117549634,76.4284508232248,0,1,101.48245
2021-12-25,101.0,Organic Milk,DailyNeeds,0,2021,12,25,5,51,4,1,104.0,102.0,104.0,104.85714285714286,104.71428571428571,115.3,1.2149857925888585,1.6837947722814661,74.25502601769719,0,1,102.68184
2021-12-26,104.0,Organic Milk,DailyNeeds,0,2021,12,26,6,51,4,1,103.0,104.0,102.0,104.42857142857143,104.64285714285714,115.19285714285715,1.9023794624232784,1.8232322463617914,74.27409661901937,0,1,94.8672
2021-12-27,103.0,Organic Milk,DailyNeeds,0,2021,12,27,0,52,4,0,105.0,104.0,103.0,104.57142857142857,104.64285714285714,115.26428571428572,1.8126539343505594,1.8232322463617914,74.26189997811655,0,1,101.89276
2021-12-28,105.0,Organic Milk,DailyNeeds,0,2021,12,28,1,52,4,0,104.0,102.0,103.0,104.28571428571429,104.57142857142857,115.26428571428572,1.8898223650467296,1.8693596482494246,74.26189997811655,0,1,102.8779
2021-12-29,105.5,Organic Milk,DailyNeeds,0,2021,12,29,2,52,4,0,106.0,107.0,106.0,104.42857142857143,104.78571428571429,115.33571428571429,1.9023794624232782,1.717716347522761,74.25062770297441,0,1,105.07481
2021-12-30,106.0,Organic Milk,DailyNeeds,0,2021,12,30,3,52,4,0,106.0,107.0,106.0,104.35714285714286,104.67857142857143,115.31785714285715,1.8419709940331295,1.6125367361000882,74.25301616805145,0,1,103.71635
2021-11-05,60.0,Whole Wheat Bread,DailyNeeds,0,2021,11,5,4,44,4,0,60.0,64.0,61.0,60.5,61.035714285714285,58.86071428571429,1.4999999999999492,1.7371980724309064,9.597968121612674,0,2,60.876575
2021-11-06,58.5,Whole Wheat Bread,DailyNeeds,0,2021,11,6,5,44,4,1,60.5,63.0,60.0,60.5,60.75,58.825,1.4999999999999492,1.528573996095365,9.591571338458667,0,2,60.114513
2021-11-07,57.0,Whole Wheat Bread,DailyNeeds,0,2021,11,7,6,44,4,1,61.0,60.0,60.0,60.214285714285715,60.42857142857143,58.77142857142858,1.67971085947207,1.4917354742966973,9.588954183227875,0,2,67.11539
2021-11-08,62.0,Whole Wheat Bread,DailyNeeds,0,2021,11,8,0,45,4,0,58.0,62.0,60.0,59.642857142857146,60.214285714285715,58.66428571428572,2.0148259998132847,1.7509808867987444,9.591478250324924,0,2,59.03661
2021-11-09,62.0,Whole Wheat Bread,DailyNeeds,0,2021,11,9,1,45,4,0,60.0,59.0,60.0,60.214285714285715,60.214285714285715,58.73571428571429,2.038323307221338,1.7509808867987444,9.609224514350615,0,2,59.491528
2021-11-10,61.0,Whole Wheat Bread,DailyNeeds,0,2021,11,10,2,45,4,0,61.0,60.0,61.0,60.5,60.42857142857143,58.807142857142864,2.1408720964441517,1.7743595036948165,9.626388445172754,0,2,60.275566
2021-11-11,59.0,Whole Wheat Bread,DailyNeeds,0,2021,11,11,3,45,4,0,63.0,63.0,62.0,60.5,60.5,58.807142857142864,2.1408720964441517,1.7759071354793938,9.626388445172754,0,2,62.984245
2021-11-12,61.0,Whole Wheat Bread,DailyNeeds,0,2021,11,12,4,45,4,0,60.0,60.0,63.0,59.92857142857143,60.214285714285715,58.7,1.880349511583977,1.6607955196959705,9.606209411586876,0,2,60.834396
2021-11-13,64.0,Whole Wheat Bread,DailyNeeds,0,2021,11,13,5,45,4,1,58.5,60.5,59.0,60.07142857142857,60.285714285714285,58.62857142857143,1.9241572057347018,1.6723346844168943,9.580452983292616,0,2,59.09878
